"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"Lamar Stevens","0.00","SF","CLE","DAL","0.0","3,000","0.00","-15.00"
"Kristaps Porzingis","0.00","PF/C","DAL","CLE","0.0","9,200","0.00","-46.00"
"Maxi Kleber","0.00","PF/C","DAL","CLE","0.0","3,400","0.00","-17.00"
"JJ Redick","0.00","SG","DAL","CLE","0.0","3,000","0.00","-15.00"
"Will Barton","0.00","SG/SF","DEN","UTA","0.0","5,900","0.00","-29.50"
"PJ Dozier","0.00","SG","DEN","UTA","0.0","4,800","0.00","-24.00"
"John Wall","0.00","PG","HOU","MIL","0.0","3,000","0.00","-15.00"
"D.J. Wilson","0.00","C","HOU","MIL","0.0","3,100","0.00","-15.50"
"Christian Wood","0.00","C","HOU","MIL","0.0","9,000","0.00","-45.00"
"Sterling Brown","0.00","SG/SF","HOU","MIL","0.0","3,600","0.00","-18.00"
"Kevin Porter Jr.","0.00","PG","HOU","MIL","0.0","8,200","0.00","-41.00"
"Jae'Sean Tate","0.00","SG/SF","HOU","MIL","0.0","6,200","0.00","-31.00"
"Avery Bradley","0.00","SG/SF","HOU","MIL","0.0","3,200","0.00","-16.00"
"LeBron James","0.00","PG/SF","LAL","POR","0.0","10,300","0.00","-51.50"
"Dennis Schroder","0.00","PG","LAL","POR","0.0","6,600","0.00","-33.00"
"Talen Horton-Tucker","0.00","SF","LAL","POR","0.0","4,100","0.00","-20.50"
"Victor Oladipo","0.00","PG/SG","MIA","MIN","0.0","7,100","0.00","-35.50"
"Axel Toupane","0.00","SG","MIL","HOU","0.0","3,000","0.00","-15.00"
"Malik Beasley","0.00","SG/SF","MIN","MIA","0.0","5,600","0.00","-28.00"
"Jaden McDaniels","0.00","PF","MIN","MIA","0.0","3,600","0.00","-18.00"
"Jarrett Culver","0.00","SG/SF","MIN","MIA","0.0","3,000","0.00","-15.00"
"Brandon Ingram","0.00","SF","NO","PHI","0.0","8,200","0.00","-41.00"
"Steven Adams","0.00","C","NO","PHI","0.0","4,400","0.00","-22.00"
"Josh Hart","0.00","SG","NO","PHI","0.0","5,900","0.00","-29.50"
"Zion Williamson","0.00","PF/C","NO","PHI","0.0","9,900","0.00","-49.50"
"Nickeil Alexander-Walker","0.00","PG","NO","PHI","0.0","6,400","0.00","-32.00"
"Alec Burks","0.00","SF","NYK","PHX","0.0","3,600","0.00","-18.00"
"Mitchell Robinson","0.00","C","NYK","PHX","0.0","3,900","0.00","-19.50"
"Immanuel Quickley","0.00","PG/SG","NYK","PHX","0.0","3,500","0.00","-17.50"
"Michael Carter-Williams","0.00","PG","ORL","CHA","0.0","4,700","0.00","-23.50"
"James Ennis III","0.00","SF/PF","ORL","CHA","0.0","4,900","0.00","-24.50"
"Otto Porter Jr.","0.00","SF","ORL","CHA","0.0","4,500","0.00","-22.50"
"Wendell Carter Jr.","0.00","C","ORL","CHA","0.0","5,800","0.00","-29.00"
"Terrence Ross","0.00","SG/SF","ORL","CHA","0.0","6,200","0.00","-31.00"
"Chuma Okeke","0.00","PF/C","ORL","CHA","0.0","5,000","0.00","-25.00"
"Furkan Korkmaz","0.00","SG/SF","PHI","NO","0.0","4,500","0.00","-22.50"
"Cameron Johnson","0.00","SF/PF","PHX","NYK","0.0","3,800","0.00","-19.00"
"Abdel Nader","0.00","SF/PF","PHX","NYK","0.0","3,000","0.00","-15.00"
"Zach Collins","0.00","C","POR","LAL","0.0","3,000","0.00","-15.00"
"Harrison Barnes","0.00","SF/PF","SAC","SAS","0.0","7,800","0.00","-39.00"
"Tyrese Haliburton","0.00","PG","SAC","SAS","0.0","7,900","0.00","-39.50"
"De'Aaron Fox","0.00","PG","SAC","SAS","0.0","10,200","0.00","-51.00"
"Derrick White","0.00","PG/SG","SAS","SAC","0.0","6,900","0.00","-34.50"
"Mike Conley","0.00","PG","UTA","DEN","0.0","7,400","0.00","-37.00"
"Donovan Mitchell","0.00","PG/SG","UTA","DEN","0.0","10,000","0.00","-50.00"
"Juwan Morgan","0.00","PF","UTA","DEN","0.0","3,000","0.00","-15.00"
